poll_id,answer,pollscore,sample_size,pct,stage,transparency_score,numeric_grade,end_date,ranked_choice_reallocated
1,Yes,78.96958265919238,1411,56.74469648860395,Primary,0.9439600901678205,53.222060296684504,2024-02-02,FALSE
2,No,71.97350203059614,1709,57.53673051483929,Primary,0.002490243874490261,51.86212563421577,2024-08-28,FALSE
3,Yes,33.39929550420493,883,43.59659325797111,Special,0.6372502762824297,2.0342878066003323,2024-08-25,FALSE
4,Yes,72.45636843144894,2690,50.61741963494569,General,0.9545653599780053,61.922544008120894,2024-04-26,FALSE
5,Yes,79.38510624226183,1969,53.57032540254295,General,0.6701038558967412,58.23874480556697,2024-10-10,FALSE
6,Undecided,69.95534989982843,1596,55.644887164235115,Special,0.3681461268570274,84.19554391875863,2024-08-28,FALSE
7,Yes,40.75565037783235,786,55.244817291386425,Special,0.7052100559230894,81.03341858368367,2024-05-23,FALSE
8,No,67.023915075697,2233,44.13226642180234,General,0.2976332630496472,58.93782766070217,2024-04-14,FALSE
9,Undecided,40.750325308181345,2851,51.90915165003389,General,0.46475232020020485,11.946306051686406,2024-09-05,FALSE
10,Undecided,26.798747200518847,2507,54.10641502123326,General,0.5657490487210453,17.731746332719922,2024-09-30,FALSE
11,Yes,81.90852273255587,1023,54.15983020327985,Primary,0.5429623497184366,58.97867095191032,2024-09-19,TRUE
12,Undecided,23.841740796342492,1242,51.999405696988106,Special,0.7930984350387007,1.9973828457295895,2024-10-17,FALSE
13,Undecided,55.364400637336075,2500,51.18949316442013,Special,0.6454011630266905,63.75841307453811,2024-10-15,FALSE
14,Undecided,25.96140701789409,1585,47.94029240962118,Primary,0.36481339018791914,39.904273743741214,2024-03-15,FALSE
15,Undecided,4.98060651589185,2548,51.45054165739566,Special,0.32946965913288295,7.47487444896251,2024-08-10,FALSE
16,Undecided,85.2002713829279,602,52.30260802432895,General,0.7542672667186707,74.11461034789681,2024-06-09,FALSE
17,No,84.30489040911198,1065,57.50414832495153,General,0.2873697050381452,52.00601816177368,2024-08-20,TRUE
18,Yes,8.278191019780934,748,42.66270680818707,Special,0.3772576632909477,78.99184196721762,2024-10-03,TRUE
19,No,44.77474668528885,2877,45.59172420762479,Primary,0.2032518028281629,32.45448104571551,2024-06-24,FALSE
20,Yes,11.84392194263637,683,45.612303894013166,Primary,0.8504070893395692,84.04927321244031,2024-06-13,FALSE
21,No,1.2272489722818136,1466,49.290895317681134,Special,0.24168741959147155,51.14823919720948,2024-10-27,FALSE
22,Yes,71.45406999625266,719,41.33618431631476,Primary,0.19478731648996472,64.815734163858,2024-04-27,FALSE
23,No,94.71867645625025,2762,56.812226264737546,Primary,0.09237486496567726,15.277930465526879,2024-08-07,FALSE
24,Yes,73.74931636732072,2224,59.13982460740954,General,0.36185398790985346,32.54484550561756,2024-03-20,TRUE
